geometry|lat|lon|name|rating|types|zona_estudio|n_types|type_0|type_1|type_2|type_3|type_4|type_5|type_6|type_7|type_8
POINT (-78.451393 -0.1127489)|-0.1127489|-78.451393|CB ELECTRICISTA|4.7|['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.4652483 -0.1224086)|-0.1224086|-78.4652483|Servicios Eléctricos y Electrónicos IEME|5.0|['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.4678167 -0.1209851)|-0.1209851|-78.4678167|SERVITEL||['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.46802 -0.1221369)|-0.1221369|-78.46802|ELECTRIC/REDJM||['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.4669682 -0.1240661)|-0.1240661|-78.4669682|Centro de Recaudación Empresa Electrica|4.0|['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.4638496 -0.1289794)|-0.1289794|-78.4638496|Christian Chantera|3.5|['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.4451217 -0.115649)|-0.115649|-78.4451217|Service Home l Facebook||['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.4580269 -0.1308787)|-0.1308787|-78.4580269|Eléctricos Independientes||['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.46104799999999 -0.1344031)|-0.1344031|-78.46104799999999|Electricos Independientes||['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.47434050000001 -0.1281867)|-0.1281867|-78.47434050000001|Nainpa Services Cia. Ltda.|4.5|['electrician', 'store']|LA BOTA|2|electrician|store|||||||
POINT (-78.47761240000001 -0.1080668)|-0.1080668|-78.47761240000001|Servicios Eléctricos||['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.4588047 -0.135256)|-0.135256|-78.4588047|REBCOIN|5.0|['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.45184689999999 -0.0967908)|-0.0967907999999999|-78.45184689999999|Parman Electricidad||['electrician']|LA BOTA|1|electrician||||||||
POINT (-78.45617349999999 -0.1173321)|-0.1173321|-78.45617349999999|SPC Computers - Repuestos y Reparacion de Portatiles y PCs|5.0|['electronics_store', 'store']|LA BOTA|2|electronics_store|store|||||||
POINT (-78.4691957 -0.1196746)|-0.1196746|-78.4691957|Celquitec|5.0|['electronics_store', 'store']|LA BOTA|2|electronics_store|store|||||||
POINT (-78.4794235 -0.1127699)|-0.1127699|-78.4794235|XPC Mayoristas|4.5|['electronics_store', 'furniture_store', 'home_goods_store', 'store']|LA BOTA|4|electronics_store|furniture_store|home_goods_store|store|||||
POINT (-78.45705 -0.135607)|-0.135607|-78.45705|MOBMAXCCTV Soluciones Tecnologicas|3.0|['electronics_store', 'store']|LA BOTA|2|electronics_store|store|||||||
POINT (-78.4799388 -0.1176309)|-0.1176309|-78.4799388|Sistemas Eléctricos Industriales|3.4|['electronics_store', 'store']|LA BOTA|2|electronics_store|store|||||||
